emp_no,salary,from_date
10086,90241,1999-02-17
10086,92125,2000-02-17
10086,96471,2001-02-16
10086,96333,2002-02-16
10087,96750,1997-05-08
10087,98200,1998-05-08
10087,98460,1999-05-08
10087,102651,2000-05-07
10088,83755,1996-08-31
10088,84024,1997-08-31
10088,87639,1998-08-31
10088,91296,1999-08-31
10088,95451,2000-08-30
10088,98003,2001-08-30
10093,82715,2002-06-07
10094,80759,1996-04-15
10094,85225,1997-04-15
10095,80955,2002-03-08
10099,81154,1992-10-17
10099,81480,1993-10-17
10099,85032,1994-10-17
10099,84698,1995-10-17
10099,86038,1996-10-16
10099,86212,1997-10-16
10099,89257,1998-10-16
10099,93297,1999-10-16
10099,95842,2000-10-15
10099,98538,2001-10-15
10103,80061,2002-01-11
10104,81834,2001-04-12
10104,81788,2002-04-12
10106,80777,1999-10-25
10106,80952,2000-10-24
10106,82836,2001-10-24
10107,93159,1999-03-30
10107,97163,2000-03-29
10107,99648,2001-03-29
10107,101676,2002-03-29
10110,81047,1997-08-19
10110,82382,1998-08-19
10110,85563,1999-08-19
10110,89803,2000-08-18
10110,92842,2001-08-18
10123,80105,1996-01-15
10123,83666,1998-01-14
10123,87050,1999-01-14
10123,88885,2000-01-14
10123,92190,2001-01-13
10123,92601,2002-01-13
10133,80478,2000-12-11
10133,83921,2001-12-11
10136,82420,1988-06-13
10136,83463,1989-06-13
10136,87813,1990-06-13
10136,91673,1991-06-13
10136,93495,1992-06-12
10136,95343,1993-06-12
10136,98154,1994-06-12
10136,97779,1995-06-12
10136,100320,1996-06-11
10136,104248,1997-06-11
10136,104909,1998-06-11
10136,105565,1999-06-11
10149,88740,1994-01-28
10149,92773,1995-01-28
10149,97077,1996-01-28
10150,80009,1990-11-15
10150,82561,1992-11-14
10150,85318,1993-11-14
10150,87755,1994-11-14
10150,89817,1995-11-14
10150,92075,1996-11-13
10150,91816,1997-11-13
10150,93921,1998-11-13
10150,97030,1999-11-13
10150,97042,2000-11-12
10150,100182,2001-11-12
10151,90741,1992-12-12
10151,94967,1993-12-12
10151,96726,1994-12-12
10151,97680,1995-12-12
10151,98971,1996-12-11
10151,101395,1997-12-11
10151,103978,1998-12-11
10151,107356,1999-12-11
10151,107956,2000-12-10
10151,109501,2001-12-10
10160,91622,1993-12-06
10160,93797,1994-12-06
10160,94557,1995-12-06
10160,97003,1996-12-05
10160,97554,1997-12-05
10160,97605,1998-12-05
10160,97152,1999-12-05
10160,101181,2000-12-04
10160,102165,2001-12-04
10173,85757,1992-03-21
10173,86612,1993-03-21
10173,89372,1994-03-21
10173,93438,1995-03-21
10173,94686,1996-03-20
10173,97719,1997-03-20
10173,101127,1998-03-20
10173,102345,1999-03-20
10173,105719,2000-03-19
10173,108148,2001-03-19
10173,109964,2002-03-19
10174,81394,1997-05-29
10174,81262,1998-05-29
10174,84576,1999-05-29
10174,87113,2000-05-28
10174,89233,2001-05-28
10174,92117,2002-05-28
10175,80922,1993-09-23
10175,83277,1994-09-23
10185,82057,1991-02-28
10185,82782,1992-02-28
10185,83673,1993-02-27
10185,85484,1994-02-27
10185,88277,1995-02-27
10185,87982,1996-02-27
10185,87921,1997-02-26
10185,90895,1998-02-26
10185,93669,1999-02-26
10185,96763,2000-02-26
10185,100722,2001-02-25
10185,104747,2002-02-25
10187,83182,2000-05-29
10187,86778,2001-05-29
10187,90645,2002-05-29
10188,80614,1999-08-24
10188,80174,2000-08-23
10188,83455,2001-08-23
10195,81013,2001-02-11
10196,86671,1999-01-31
10196,87374,2000-01-31
10196,91527,2001-01-30
10196,92885,2002-01-30
10226,83612,1998-01-28
10226,84626,1999-01-28
10226,85159,2000-01-28
10226,88108,2001-01-27
10226,89557,2002-01-27
10228,81409,1994-12-22
10228,81751,1995-12-22
10228,82565,1996-12-21
10228,84872,1997-12-21
10228,88652,1998-12-21
10228,88734,1999-12-21
10228,93113,2000-12-20
10228,96062,2001-12-20
10232,89606,1992-06-04
10232,90911,1993-06-04
10232,92514,1994-06-04
10232,94191,1995-06-04
10232,96120,1996-06-03
10232,98047,1997-06-03
10232,99914,1998-06-03
10232,103510,1999-06-03
10232,103583,2000-06-02
10232,103915,2001-06-02
10232,104656,2002-06-02
10234,84584,1990-11-19
10234,85768,1991-11-19
10234,87361,1992-11-18
10234,90986,1993-11-18
10234,93052,1994-11-18
10234,96269,1995-11-18
10234,96294,1996-11-17
10234,100366,1997-11-17
10234,102754,1998-11-17
10236,80469,1996-08-30
10236,84161,1997-08-30
10236,88363,1998-08-30
10236,89021,1999-08-30
10236,90389,2000-08-29
10236,92118,2001-08-29
10237,100715,1989-08-11
10237,104925,1990-08-11
10237,106126,1991-08-11
10237,106071,1992-08-10
10237,108816,1993-08-10
10237,112892,1994-08-10
10237,117295,1995-08-10
10237,118419,1996-08-09
10237,118656,1997-08-09
10237,122275,1998-08-09
10237,125947,1999-08-09
10239,80624,2001-05-03
10239,82905,2002-05-03
10243,82343,2000-06-03
10243,86756,2001-06-03
10243,90542,2002-06-03
10249,81891,1997-12-06
10249,83144,1998-12-06
10249,84291,1999-12-06
10249,85860,2000-12-05
10249,85676,2001-12-05
10251,84091,2000-06-23
10251,87326,2001-06-23
10251,88948,2002-06-23
10253,80522,1992-02-20
10253,81699,1993-02-19
10253,81430,1994-02-19
10254,83198,2001-06-11
10254,85691,2002-06-11
10256,80567,1989-10-11
10256,82196,1990-10-11
10256,83540,1991-10-11
10256,84167,1992-10-10
10256,88379,1993-10-10
10256,92458,1994-10-10
10256,96074,1995-10-10
10256,96199,1996-10-09
10256,99890,1997-10-09
10256,102431,1998-10-09
10256,105183,1999-10-09
10256,109222,2000-10-08
10256,109040,2001-10-08
10258,82555,1990-05-16
10258,83977,1991-05-16
10258,86445,1992-05-15
10258,90341,1993-05-15
10258,89891,1994-05-15
10258,94064,1995-05-15
10258,97898,1996-05-14
10258,100587,1997-05-14
10258,102901,1998-05-14
10258,105128,1999-05-14
10258,105845,2000-05-13
10258,106912,2001-05-13
10258,110212,2002-05-13
10259,88991,1987-07-25
10259,90386,1988-07-24
10259,91690,1989-07-24
10259,93760,1990-07-24
10259,94623,1991-07-24
10259,95258,1992-07-23
10259,95769,1993-07-23
10259,95745,1994-07-23
10259,98799,1995-07-23
10259,101723,1996-07-22
10259,103794,1997-07-22
10259,106127,1998-07-22
10266,81099,2002-05-22
10271,80238,1996-05-20
10271,81150,1997-05-20
10271,83477,1998-05-20
10271,85144,1999-05-20
10271,85501,2000-05-19
10271,88028,2001-05-19
10271,91010,2002-05-19
10273,81878,1990-11-05
10273,84820,1991-11-05
10273,88989,1992-11-04
10273,89773,1993-11-04
10273,89997,1994-11-04
10273,90077,1995-11-04
10273,89818,1996-11-03
10273,89562,1997-11-03
10273,93174,1998-11-03
10273,93379,1999-11-03
10273,93692,2000-11-02
10273,93350,2001-11-02
10274,86164,1997-02-02
10274,89682,1998-02-02
10274,93048,1999-02-02
10274,96678,2000-02-02
10274,97190,2001-02-01
10274,97449,2002-02-01
10277,82247,1997-06-13
10277,84896,1998-06-13
10277,85862,1999-06-13
10277,86608,2000-06-12
10277,90674,2001-06-12
10277,91882,2002-06-12
10280,80740,2001-01-25
10280,80485,2002-01-25
10288,80474,1994-08-29
10288,84857,1995-08-29
10288,87386,1996-08-28
10288,88562,1997-08-28
10288,91833,1998-08-28
10288,96002,1999-08-28
10288,95786,2000-08-27
10288,96620,2001-08-27
10291,81199,2000-03-26
10291,84571,2001-03-26
10291,86090,2002-03-26
10292,81986,1991-06-05
10292,83682,1992-06-04
10292,84045,1993-06-04
10292,85028,1994-06-04
10292,88286,1995-06-04
10292,91013,1996-06-03
10292,93776,1997-06-03
10292,94676,1998-06-03
10292,98388,1999-06-03
10292,100643,2000-06-02
10292,104385,2001-06-02
10292,106632,2002-06-02
10296,81920,1991-09-16
10296,85412,1992-09-15
10296,88218,1993-09-15
10296,91767,1994-09-15
10296,92360,1995-09-15
10296,92223,1996-09-14
10296,94883,1997-09-14
10296,99043,1998-09-14
10296,100781,1999-09-14
10296,104946,2000-09-13
10296,106087,2001-09-13
10297,80896,1991-05-27
10297,81153,1992-05-26
10297,84595,1993-05-26
10297,85973,1994-05-26
10297,88824,1995-05-26
10297,92900,1996-05-25
10297,92446,1997-05-25
10297,95830,1998-05-25
10297,96169,1999-05-25
10297,95808,2000-05-24
10297,96961,2001-05-24
10297,100018,2002-05-24
10299,81584,1994-01-09
10299,83820,1995-01-09
10299,87395,1996-01-09
10299,89057,1997-01-08
10299,92219,1998-01-08
10299,93012,1999-01-08
10299,96431,2000-01-08
10299,96605,2001-01-07
10299,98711,2002-01-07
10300,82747,1994-05-16
10300,85224,1995-05-16
10300,85824,1996-05-15
10300,88549,1997-05-15
10300,88337,1998-05-15
10300,92227,1999-05-15
10300,96395,2000-05-14
10300,97640,2001-05-14
10300,101239,2002-05-14
10302,83496,1996-07-19
10302,85155,1997-07-19
10302,87956,1998-07-19
10302,91254,1999-07-19
10304,106905,1992-11-16
10304,110731,1993-11-16
10304,113812,1994-11-16
10304,117270,1995-11-16
10304,118092,1996-11-15
10304,118270,1997-11-15
10304,117985,1998-11-15
10304,121296,1999-11-15
10304,121055,2000-11-14
10304,120872,2001-11-14
10308,83094,2000-12-27
10308,85789,2001-12-27
10312,82342,1995-08-26
10312,86180,1996-08-25
10312,88595,1997-08-25
10312,88708,1998-08-25
10312,88841,1999-08-25
10312,89906,2000-08-24
10312,91499,2001-08-24
10314,80800,1999-01-13
10314,83247,2000-01-13
10314,87746,2001-01-12
10314,87352,2002-01-12
10315,82098,1997-08-25
10315,83874,1998-08-25
10315,84733,1999-08-25
10315,87649,2000-08-24
10315,87577,2001-08-24
10318,80265,1992-03-21
10318,84061,1993-03-21
10318,86539,1994-03-21
10318,86073,1995-03-21
10318,90263,1996-03-20
10318,92341,1997-03-20
10318,92969,1998-03-20
10318,97042,1999-03-20
10318,97397,2000-03-19
10318,98204,2001-03-19
10318,99371,2002-03-19
10319,84162,1994-06-18
10319,85979,1995-06-18
10319,89197,1996-06-17
10319,92175,1997-06-17
10319,94511,1998-06-17
10319,97332,1999-06-17
10319,101421,2000-06-16
10319,103621,2001-06-16
10319,106263,2002-06-16
10320,83350,1997-11-01
10320,87526,1998-11-01
10320,89956,1999-11-01
10320,92383,2000-10-31
10320,92205,2001-10-31
10321,86819,1995-07-24
10321,88201,1996-07-23
10321,92691,1997-07-23
10321,94282,1998-07-23
10321,98519,1999-07-23
10329,81884,1999-01-17
10329,83229,2000-01-17
10329,85563,2001-01-16
10329,89171,2002-01-16
10330,86545,1993-10-08
10330,89645,1994-10-08
10330,91303,1995-10-08
10330,93169,1996-10-07
10330,94878,1997-10-07
10330,94582,1998-10-07
10330,97680,1999-10-07
10330,97606,2000-10-06
10330,97400,2001-10-06
10331,82753,2000-10-25
10331,86063,2001-10-25
10340,80368,1993-03-29
10340,80952,1994-03-29
10340,82422,1995-03-29
10340,86594,1996-03-28
10340,86206,1997-03-28
10340,88899,1998-03-28
10340,89626,1999-03-28
10340,91138,2000-03-27
10340,92670,2001-03-27
10340,93168,2002-03-27
10345,81122,1998-11-07
10345,82413,1999-11-07
10345,85326,2000-11-06
10345,87195,2001-11-06
10346,81121,1996-01-16
10353,80601,1996-08-22
10353,81825,1997-08-22
10353,82493,1998-08-22
10353,84163,1999-08-22
10353,87391,2000-08-21
10353,87254,2001-08-21
10358,81004,1998-02-17
10358,82298,1999-02-17
10358,86096,2000-02-17
10358,89913,2001-02-16
10358,90950,2002-02-16
10361,81811,2000-10-19
10361,81801,2001-10-19
10364,80943,1995-11-12
10364,82740,1996-11-11
10364,85239,1997-11-11
10364,89220,1998-11-11
10364,89026,1999-11-11
10364,92482,2000-11-10
10364,94739,2001-11-10
10367,80944,1999-06-22
10367,83773,2000-06-21
10367,83628,2001-06-21
10367,83569,2002-06-21
10371,83870,1999-11-26
10371,85528,2000-11-25
10371,85789,2001-11-25
10372,82469,1998-07-27
10372,82884,1999-07-27
10372,82417,2000-07-26
10372,85813,2001-07-26
10372,85455,2002-07-26
10375,93329,1994-05-29
10375,96804,1995-05-29
10375,99100,1996-05-28
10375,103291,1997-05-28
10375,102901,1998-05-28
10375,104610,1999-05-28
10375,105188,2000-05-27
10375,104851,2001-05-27
10375,107218,2002-05-27
10378,81877,1995-08-31
10378,83576,1996-08-30
10378,87894,1997-08-30
10378,88904,1998-08-30
10378,88480,1999-08-30
10378,91874,2000-08-29
10378,92842,2001-08-29
10380,81790,1987-03-19
10380,83698,1988-03-18
10380,84670,1989-03-18
10380,86551,1990-03-18
10380,86268,1991-03-18
10380,87932,1992-03-17
10380,89126,1993-03-17
10380,92618,1994-03-17
10380,94081,1995-03-17
10380,95724,1996-03-16
10380,99680,1997-03-16
10380,99889,1998-03-16
10380,99675,1999-03-16
10380,101019,2000-03-15
10380,103127,2001-03-15
10380,104943,2002-03-15
10381,80134,1996-12-02
10381,84558,1997-12-02
10381,87260,1998-12-02
10381,91337,1999-12-02
10381,91126,2000-12-01
10381,90924,2001-12-01
10386,82770,2000-07-29
10386,86005,2001-07-29
10386,88725,2002-07-29
10399,97010,2000-01-26
10399,99375,2001-01-25
10399,98993,2002-01-25
10400,80940,2000-10-15
10400,85083,2001-10-15
10403,83609,1991-09-13
10403,86167,1992-09-12
10403,86271,1993-09-12
10403,89227,1994-09-12
10403,92915,1995-09-12
10403,94711,1996-09-11
10403,96381,1997-09-11
10403,98955,1998-09-11
10403,100526,1999-09-11
10403,101791,2000-09-10
10404,81288,1998-08-26
10404,83435,1999-08-26
10404,87044,2000-08-25
10404,87187,2001-08-25
10411,83606,1994-09-01
10411,84257,1995-09-01
10411,86738,1996-08-31
10411,87270,1997-08-31
10411,89789,1998-08-31
10411,91866,1999-08-31
10411,93539,2000-08-30
10411,94363,2001-08-30
10412,81477,1998-11-19
10412,81041,1999-11-19
10412,84310,2000-11-18
10412,84971,2001-11-18
10416,80245,1993-03-23
10416,81961,1994-03-23
10416,83050,1995-03-23
10416,83909,1996-03-22
10416,84677,1997-03-22
10416,88492,1998-03-22
10416,89080,1999-03-22
10416,91969,2000-03-21
10416,96276,2001-03-21
10416,99825,2002-03-21
10417,81805,2002-06-26
10420,82172,1994-01-15
10420,85849,1995-01-15
10420,87343,1996-01-15
10420,87502,1997-01-14
10420,87733,1998-01-14
10420,87340,1999-01-14
10420,87236,2000-01-14
10426,80576,1994-07-04
10426,84484,1995-07-04
10426,86031,1996-07-03
10426,87560,1997-07-03
10426,91328,1998-07-03
10426,92921,1999-07-03
10426,94888,2000-07-02
10426,95371,2001-07-02
10426,98636,2002-07-02
10427,81046,1997-10-02
10427,84541,1998-10-02
10427,84090,1999-10-02
10427,87996,2000-10-01
10427,90768,2001-10-01
10431,80414,1993-10-06
10431,80624,1994-10-06
10431,81646,1995-10-06
10431,82611,1996-10-05
10431,82321,1997-10-05
10431,85186,1998-10-05
10431,86570,1999-10-05
10431,86574,2000-10-04
10431,86445,2001-10-04
10439,80363,2000-04-29
10439,82600,2001-04-29
10439,86481,2002-04-29
10444,86407,1994-10-23
10444,86588,1995-10-23
10444,88660,1996-10-22
10444,90742,1997-10-22
10444,93920,1998-10-22
10444,98120,1999-10-22
10444,102489,2000-10-21
10444,103063,2001-10-21
10449,81799,2000-03-24
10449,86260,2001-03-24
10449,87735,2002-03-24
10454,84280,1989-04-16
10454,84094,1990-04-16
10454,84750,1991-04-16
10454,88589,1992-04-15
10454,92752,1993-04-15
10454,94077,1994-04-15
10454,94764,1995-04-15
10454,95125,1996-04-14
10454,96447,1997-04-14
10454,97941,1998-04-14
10454,100253,1999-04-14
10454,102168,2000-04-13
10454,106146,2001-04-13
10454,110048,2002-04-13
10455,98251,1995-02-19
10455,101869,1996-02-19
10455,105399,1997-02-18
10455,106344,1998-02-18
10455,109531,1999-02-18
10455,111910,2000-02-18
10455,112518,2001-02-17
10455,116386,2002-02-17
10458,80029,1996-07-04
10458,83904,1997-07-04
10458,87203,1998-07-04
10458,91699,1999-07-04
10458,95388,2000-07-03
10458,99327,2001-07-03
10458,100685,2002-07-03
10461,82217,1987-08-03
10461,85571,1988-08-02
10461,85264,1989-08-02
10461,89339,1990-08-02
10461,91135,1991-08-02
10461,91388,1992-08-01
10461,93380,1993-08-01
10461,94659,1994-08-01
10461,95469,1995-08-01
10461,95868,1996-07-31
10461,96375,1997-07-31
10461,97626,1998-07-31
10461,97419,1999-07-31
10461,96980,2000-07-30
10461,101307,2001-07-30
10461,103382,2002-07-30
10463,82179,2000-02-16
10463,84324,2001-02-15
10463,88502,2002-02-15
10465,80628,2001-12-09
10467,82053,1993-05-22
10467,82994,1994-05-22
10467,85453,1995-05-22
10467,89268,1996-05-21
10467,90455,1997-05-21
10467,93299,1998-05-21
10467,93833,1999-05-21
10471,80886,2000-11-15
10471,82545,2001-11-15
10476,82756,1998-09-17
10476,83560,1999-09-17
10476,84050,2000-09-16
10476,86744,2001-09-16
10482,82504,1997-02-25
10482,86752,1998-02-25
10482,89490,1999-02-25
10482,92152,2000-02-25
10482,92147,2001-02-24
10482,91895,2002-02-24
10486,82845,1993-10-06
10486,85416,1994-10-06
10486,87979,1995-10-06
10486,89492,1996-10-05
10486,92911,1997-10-05
10486,95743,1998-10-05
10486,95845,1999-10-05
10486,98340,2000-10-04
10486,100894,2001-10-04
10490,80251,1999-11-21
10490,80723,2001-11-20
10491,81100,1998-01-15
10491,81138,1999-01-15
10491,85503,2000-01-15
10491,85692,2001-01-14
10491,89966,2002-01-14
10492,81281,1999-04-27
10492,81917,2000-04-26
10492,84068,2001-04-26
10492,88092,2002-04-26
10495,80526,1993-09-23
10495,84115,1994-09-23
10495,86075,1995-09-23
10495,86509,1996-09-22
10495,89609,1997-09-22
10495,93783,1998-09-22
10495,94829,1999-09-22
10495,94911,2000-09-21
10495,97302,2001-09-21
10497,80962,1999-01-20
10497,82722,2000-01-20
10497,82931,2001-01-19
10497,84550,2002-01-19
10505,81310,1994-07-21
10505,84958,1995-07-21
10505,87870,1996-07-20
10505,88600,1997-07-20
10510,83225,1996-04-18
10510,83964,1997-04-18
10510,88220,1998-04-18
10510,90348,1999-04-18
10510,92838,2000-04-17
10510,94090,2001-04-17
10510,98279,2002-04-17
10513,86392,1991-04-02
10513,86680,1992-04-01
10513,87896,1993-04-01
10513,91107,1994-04-01
10513,93189,1995-04-01
10513,97107,1996-03-31
10513,97250,1997-03-31
10513,96779,1998-03-31
10513,100751,1999-03-31
10513,102025,2000-03-30
10513,102671,2001-03-30
10513,105199,2002-03-30
10515,91484,1990-01-06
10515,94914,1991-01-06
10515,95449,1992-01-06
10515,95939,1993-01-05
10515,97889,1994-01-05
10515,99946,1995-01-05
10515,100364,1996-01-05
10515,103771,1997-01-04
10515,106120,1998-01-04
10516,81189,1989-10-18
10516,82686,1990-10-18
10516,85783,1991-10-18
10516,85851,1992-10-17
10516,85488,1993-10-17
10516,86947,1994-10-17
10516,89856,1995-10-17
10516,92554,1996-10-16
10516,93132,1997-10-16
10516,94788,1998-10-16
10516,94310,1999-10-16
10516,98342,2000-10-15
10516,101812,2001-10-15
10517,81445,1999-12-23
10517,83886,2000-12-22
10517,85728,2001-12-22
10521,91262,1989-05-11
10521,91781,1990-05-11
10521,91788,1991-05-11
10521,94245,1992-05-10
10521,97738,1993-05-10
10521,97645,1994-05-10
10521,100878,1995-05-10
10521,104375,1996-05-09
10521,106030,1997-05-09
10521,108418,1998-05-09
10521,111936,1999-05-09
10521,114035,2000-05-08
10521,117047,2001-05-08
10521,120116,2002-05-08
10524,80532,1998-10-06
10524,83771,1999-10-06
10524,86550,2000-10-05
10524,88024,2001-10-05
10525,87439,1990-07-08
10525,90502,1991-07-08
10525,92280,1992-07-07
10525,92828,1993-07-07
10525,93000,1994-07-07
10525,95446,1995-07-07
10528,80832,2000-10-26
10528,81284,2001-10-26
10530,80184,1992-09-21
10530,81003,1993-09-21
10530,84651,1994-09-21
10530,85359,1995-09-21
10530,85966,1996-09-20
10530,86975,1997-09-20
10530,90609,1998-09-20
10530,94180,1999-09-20
10530,96784,2000-09-19
10530,97343,2001-09-19
10532,87468,1986-05-18
10532,87811,1987-05-18
10532,91018,1988-05-17
10532,91837,1989-05-17
10532,96327,1990-05-17
10532,96600,1991-05-17
10532,100697,1992-05-16
10532,100255,1993-05-16
10532,102301,1994-05-16
10532,103362,1995-05-16
10532,106374,1996-05-15
10532,109069,1997-05-15
10532,110236,1998-05-15
10532,114263,1999-05-15
10532,114699,2000-05-14
10532,118849,2001-05-14
10532,122653,2002-05-14
10533,80162,2001-08-14
10536,80374,1998-10-05
10536,83730,1999-10-05
10536,84278,2000-10-04
10536,84392,2001-10-04
10537,81910,1999-09-25
10537,85795,2000-09-24
10537,86754,2001-09-24
10538,80669,1991-07-22
10538,83933,1992-07-21
10538,85961,1993-07-21
10538,86348,1994-07-21
10538,87964,1995-07-21
10538,90360,1996-07-20
10538,93407,1997-07-20
10538,95530,1998-07-20
10539,102092,1990-06-05
10539,104741,1991-06-05
10539,108831,1992-06-04
10539,109935,1993-06-04
10539,114233,1994-06-04
10539,115083,1995-06-04
10539,118781,1996-06-03
10539,118450,1997-06-03
10539,120763,1998-06-03
10539,123164,1999-06-03
10539,124546,2000-06-02
10539,125811,2001-06-02
10539,126614,2002-06-02
10543,86526,1998-11-24
10543,86950,1999-11-24
10543,88398,2000-11-23
10543,89954,2001-11-23
10548,90631,1986-07-04
10548,92310,1987-07-04
10548,96118,1988-07-03
10548,99734,1989-07-03
10548,99483,1990-07-03
10548,101116,1991-07-03
10548,103283,1992-07-02
10548,104957,1993-07-02
10548,107643,1994-07-02
10548,110477,1995-07-02
10548,111595,1996-07-01
10548,114812,1997-07-01
10548,116641,1998-07-01
10548,119469,1999-07-01
10548,123959,2000-06-30
10548,124817,2001-06-30
10548,126034,2002-06-30
10552,80483,1998-08-31
10552,84411,1999-08-31
10552,84575,2000-08-30
10552,86030,2001-08-30
10553,82573,1993-07-21
10553,82675,1994-07-21
10553,82882,1995-07-21
10553,82915,1996-07-20
10553,87345,1997-07-20
10553,88518,1998-07-20
10553,92242,1999-07-20
10553,93364,2000-07-19
10553,95232,2001-07-19
10553,99276,2002-07-19
10556,81729,2000-04-13
10556,85801,2001-04-13
10556,87487,2002-04-13
10558,80081,1997-04-21
10558,80225,1998-04-21
10558,84239,1999-04-21
10558,85516,2000-04-20
10558,86903,2001-04-20
10558,90983,2002-04-20
10559,90120,1999-04-05
10559,91961,2000-04-04
10559,95233,2001-04-04
10559,99733,2002-04-03
10568,80992,2002-07-06
10569,81502,1998-03-10
10569,82875,1999-03-10
10569,85790,2000-03-09
10569,88657,2001-03-09
10569,89547,2002-03-09
10570,80145,1986-06-16
10570,80220,1987-06-16
10570,82051,1989-06-15
10570,83372,1990-06-15
10570,87192,1991-06-15
10570,90985,1992-06-14
10570,94670,1993-06-14
10570,94432,1994-06-14
10570,94068,1995-06-14
10570,97737,1996-06-13
10570,98246,1997-06-13
10570,101062,1998-06-13
10570,104022,1999-06-13
10573,87241,1999-08-20
10573,90769,2000-08-19
10573,93201,2001-08-19
10576,80866,1996-01-02
10576,81956,1997-01-01
10576,83794,1998-01-01
10576,85402,1999-01-01
10576,84996,2000-01-01
10576,89483,2000-12-31
10576,89866,2001-12-31
10579,80505,1998-05-31
10579,82407,1999-05-31
10579,86879,2000-05-30
10579,88274,2001-05-30
10579,91304,2002-05-30
10583,83617,1986-02-14
10583,83937,1987-02-14
10583,87996,1988-02-14
10583,88318,1989-02-13
10583,90185,1990-02-13
10583,92498,1991-02-13
10583,95175,1992-02-13
10583,98730,1993-02-12
10583,102863,1994-02-12
10583,104976,1995-02-12
10583,106938,1996-02-12
10583,108882,1997-02-11
10583,109161,1998-02-11
10584,80898,1992-02-16
10584,85324,1993-02-15
10584,86008,1994-02-15
10584,89897,1995-02-15
10584,94150,1996-02-15
10584,95243,1997-02-14
